ISBN13,Title,Author,author_id,Cover,,,,,,
9780425068069,Three Blind Mice And Other Stories,Agatha Christie,83,http://www.openisbn.com/cover/0425068064_72.jpg,,,,,,
9780312975128,The Unexpected Guest,Agatha Christie,83,http://www.openisbn.com/cover/0312975120_72.jpg,,,,,,
9783502506805,Das Schicksal In Person. Ein Miss- Marple Krimi.,Agatha Christie,83,http://www.openisbn.com/cover/3502506809_72.jpg,,,,,,
9780425068090,The Witness For The Prosecution: And Other Stories,Agatha Christie,83,http://www.openisbn.com/cover/0425068099_72.jpg,,,,,,
9780425105696,The Moving Finger: A Miss Marple Murder Mystery,Agatha Christie,83,http://www.openisbn.com/cover/0425105695_72.jpg,,,,,,
9780425067864,The Man In The Brown Suit (Agatha Christie Mysteries Collection),Agatha Christie,83,http://www.openisbn.com/cover/0425067866_72.jpg,,,,,,
9780425129586,And Then There Were None,Agatha Christie,83,http://www.openisbn.com/cover/0425129586_72.jpg,,,,,,
9780425130247,The A. B. C. Murders (A Hercule Poirot Novel),Agatha Christie,83,http://www.openisbn.com/cover/042513024X_72.jpg,,,,,,
9780425098455,N Or M?,Agatha Christie,83,http://www.openisbn.com/cover/0425098451_72.jpg,,,,,,
9780440158615,The Moving Finger,Agatha Christie,83,http://www.openisbn.com/cover/0440158613_72.jpg,,,,,,
9780425129616,The Mysterious Affair At Styles (Hercule Poirot),Agatha Christie,83,http://www.openisbn.com/cover/0425129616_72.jpg,,,,,,
9780440186922,There Is A Tide,Agatha Christie,83,http://www.openisbn.com/cover/0440186927_72.jpg,,,,,,
9780312979508,Spider's Web,Agatha Christie,83,,,,,,,
9780425089002,The Patriotic Murders,Agatha Christie,83,http://www.openisbn.com/cover/0425089002_72.jpg,,,,,,
9780425067765,The Big Four,Agatha Christie,83,http://www.openisbn.com/cover/0425067769_72.jpg,,,,,,
9780553235579,Mysterious Affair At Styles,Agatha Christie,83,http://www.openisbn.com/cover/0553235575_72.jpg,,,,,,
9780425067758,Appointment With Death,Agatha Christie,83,http://www.openisbn.com/cover/0425067750_72.jpg,,,,,,
9780425087701,Parker Pyne Investigates,Agatha Christie,83,http://www.openisbn.com/cover/0425087700_72.jpg,,,,,,
9782013218924,Le Crime De L'Orient-Express,Agatha Christie,83,http://www.openisbn.com/cover/2013218923_72.jpg,,,,,,
9780553350074,Witness For The Prosecution (The Agatha Christie Mystery Collection),Agatha Christie,83,http://www.openisbn.com/cover/0553350072_72.jpg,,,,,,
9780515095524,Burden,Agatha Christie,83,http://www.openisbn.com/cover/0515095524_72.jpg,,,,,,
9780671415945,Hickory Dickory Death,Agatha Christie,83,http://www.openisbn.com/cover/0671415948_72.jpg,,,,,,
9780396074120,Masterpieces Of Murder,Agatha Christie,83,http://www.openisbn.com/cover/039607412X_72.jpg,,,,,,
9780061003639,At Bertram's Hotel,Agatha Christie,83,http://www.openisbn.com/cover/0061003638_72.jpg,,,,,,
9780425067857,The Labors Of Hercules (Hercule Poirot),Agatha Christie,83,http://www.openisbn.com/cover/0425067858_72.jpg,,,,,,
9780425174722,Poirot Investigates (Hercule Poirot Mysteries),Agatha Christie,83,http://www.openisbn.com/cover/0425174727_72.jpg,,,,,,
9780425104064,The Sittaford Mystery,Agatha Christie,83,http://www.openisbn.com/cover/0425104060_72.jpg,,,,,,
9781572701205,Nemesis (Cover To Cover Classics),Agatha Christie,83,,,,,,,
9782702408643,Cartes Sur Table,Agatha Christie,83,http://www.openisbn.com/cover/2702408648_72.jpg,,,,,,
9780425093252,Five Little Pigs (Also Published As Murder In Retrospect),Agatha Christie,83,http://www.openisbn.com/cover/0425093255_72.jpg,,,,,,
